ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ITA,Italy,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,41.49,29.6,31.28,32.34,32.03,34.77,34.97,35.24,38.22,43.47,45.19,45.94,43.36,57.14,60.72,61.94,66.66,68.48,76.68,70.15,71.07,73.55,72.1,68.9,69.16,67.06,68.7,67.71,65.99,67.98,70.14,74.23
AUS,Australia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,40.52,39.3,39.68,39.8,38.1,38.58,38.04,41.36,41.37,41.34,39.86,37.3,41.47,45.07,43.55,42.92,44.06,45.54,44.52,38.23,47.59,48.32,47.8,47.93,47.82,46.32,46.48,45.68,43.97,43.04,43.35,43.1
BRA,Brazil,Climate Watch,Industrial Processes,All GHG,MtCO₂e,36.55,34.28,31.53,30.55,29.86,31.64,33.88,35.65,35.33,33.62,31.4,29.79,26.88,26.93,24.71,28.66,26.22,25.68,23.0,24.34,23.41,25.25,26.59,25.31,22.89,22.23,21.59,19.93,20.13,18.56,20.29,18.24
MYS,Malaysia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,35.05,32.26,35.26,35.62,32.59,29.78,28.97,28.71,29.2,32.07,28.62,30.55,29.71,43.35,43.58,38.05,35.26,33.44,29.68,28.53,26.54,25.96,23.15,23.73,23.93,23.91,20.34,18.52,17.91,16.77,15.47,14.09
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,34.34,33.04,36.69,37.14,35.06,34.58,30.21,31.12,30.33,28.79,26.53,24.82,24.58,25.45,24.26,23.52,22.77,23.12,21.7,21.86,22.0,19.82,14.82,13.81,16.73,14.98,14.0,13.26,11.51,10.54,9.88,8.54
UKR,Ukraine,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,33.87,35.28,35.47,35.72,31.5,37.75,41.89,55.71,57.08,60.66,65.31,61.47,56.34,75.75,84.1,82.02,75.45,96.57,98.02,88.92,88.32,80.94,81.17,79.15,83.57,87.38,98.38,97.51,133.13,189.14,197.29,195.54
PAK,Pakistan,Climate Watch,Industrial Processes,All GHG,MtCO₂e,33.69,31.74,27.93,26.47,24.04,21.81,18.78,17.61,16.71,15.48,14.45,13.97,14.14,12.63,11.54,9.73,8.25,7.11,6.57,5.68,5.6,5.07,4.8,4.37,4.26,4.08,3.8,3.59,3.66,3.42,3.39,3.26
GBR,United Kingdom,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,33.38,31.3,32.89,33.2,33.86,33.37,39.43,40.71,41.08,40.4,40.37,45.15,43.33,52.38,53.58,54.52,55.25,58.31,61.32,61.68,66.14,62.5,62.64,63.73,67.09,68.28,69.44,72.82,71.82,70.83,79.24,77.2
ESP,Spain,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,32.18,30.97,33.89,33.79,33.14,31.7,29.57,32.68,35.09,35.71,38.67,39.56,37.58,44.87,48.18,43.89,55.39,54.62,54.21,51.5,51.41,47.4,41.56,44.43,44.7,39.14,42.84,41.97,38.66,40.22,42.85,41.33
EGY,Egypt,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,32.01,26.72,32.04,40.27,37.17,31.32,28.67,28.89,31.66,28.25,31.86,31.84,31.61,36.45,39.31,34.35,33.18,23.78,28.72,30.93,32.89,25.36,26.36,24.81,26.8,25.39,23.05,20.57,28.13,25.88,24.25,26.67
EGY,Egypt,Climate Watch,Industrial Processes,All GHG,MtCO₂e,31.4,28.83,30.03,31.02,31.45,32.16,30.65,30.26,30.21,31.47,31.11,32.02,30.54,25.83,25.8,23.34,20.98,19.45,18.59,19.35,18.31,17.66,17.08,15.81,15.0,14.33,13.64,12.89,12.83,13.29,13.0,11.87
